Domains,Department 
aaadnc-aandc.gc.ca,AANDC/AANDC
aadnc.gc.ca,AANDC/AANDC
aadnc-aadc.gc.ca,AANDC/AANDC
aadnc-aandc,AANDC/AANDC
aadnc-aandc.gc.ac,AANDC/AANDC
aadnc-aandc.gc.ca,AANDC/AANDC
aandc.aadnc.gc.ca,AANDC/AANDC
aandc.gc.ca,AANDC/AANDC
aandc-aadnc.gc.ca,AANDC/AANDC
aandc-aadrc.gc.ca,AANDC/AANDC
aandc-aandc.gc.ca,AANDC/AANDC
adnc-aandc.gc.ca,AANDC/AANDC
ainc.gc.ca,AANDC/AANDC
ainc-inac.gc.ca,AANDC/AANDC
aino-inac.gc.ca,AANDC/AANDC
inac.ainc.gc.ca,AANDC/AANDC
inac.gc.ca,AANDC/AANDC
inac-ainc.gc.ca,AANDC/AANDC
inac-anic.gc.ca,AANDC/AANDC
acoa.apeca.gc.ca,ACOA/APECA
acoa.gc.ca,ACOA/APECA
acoa-apeca.gc.ca,ACOA/APECA
apeca-acoa.gc.ca,ACOA/APECA
aecl.ca,AECL/EACL
afc-cfa.gc.ca,AFC/CFA
AAFC.gc.ca,AAFC/AAC
agc.gc.ca,AAFC/AAC
agr.ga.ca,AAFC/AAC
agr.gc.ca,AAFC/AAC
grainscanada.gc.ca,AAFC/AAC
atlanticpilotage.com,APA
apex.gc.ca,APEX
apl.gc.ca,PLA/APL
bdc.ca,BDB/BDC
bank-banque-canada.ca,BOB/BDC
bankofcanada.ca,BOB/BDC
banqueducanada.ca,BOB/BDC
capprt.gc.ca,CAPPRT/TCRPAP
capprt-tcrpap.gc.ca,CAPPRT/TCRPAP
cart-crac.gc.ca,CART
cas.satj.gc.ca,CAS/SATJ
cas-satj.gc.ca,CAS/SATJ
catsa.gc.ca,CATSA/ACSTA
catsa-acsta.gc.ca,CATSA/ACSTA
asfc.cbsa.gc.ca,CBSA/ASFC
asfc.gc.ca,CBSA/ASFC
asfc-cbsa.gc.ca,CBSA/ASFC
cbas.gc.ca,CBSA/ASFC
cbas-asfc.gc.ca,CBSA/ASFC
cbsa.gc.ca,CBSA/ASFC
cbsa-afsc.gc.ca,CBSA/ASFC
cbsa-asfc.gc.ca,CBSA/ASFC
cbsa-asfc.gc.ca.,CBSA/ASFC
cbsa-asgc.gc.ca,CBSA/ASFC
cbsa-safc.gc.ca,CBSA/ASFC
cgsa-asfc.gc.ca,CBSA/ASFC
canadacouncil.ca,CCA/CAC
canadcouncil.ca,CCA/CAC
ccc.ca,CCC
cco-bcc.gc.ca,CCO/BCC
ccohs.ca,CCOHS/CCHST
cdc-ccl.gc.ca,CDC/CCL
cdic.ca,CDIC/SADC
acee.gc.ca,CEAA/ACEE
ceaa.gc.ca,CEAA/ACEE
ceaa-acee.gc.ca,CEAA/ACEE
ced-dec.gc.ca,CED/DEC/DEC
dec-ced.gc.ca,CED/DEC/DEC
